product_id,name,category,launch_date,price_usd,is_active
PROD001,Expedite Impactful Vortals,Antibiotic,2015-12-24,191.23,False
PROD002,Whiteboard Real-Time Systems,Analgesic,2023-10-27,106.46,True
PROD003,Enhance Synergistic Schemas,Antiviral,2021-11-10,169.92,True
PROD004,Brand Viral Methodologies,Analgesic,2021-12-09,81.04,True
PROD005,Evolve Distributed Action-Items,Antibiotic,2016-09-21,123.8,False
PROD006,Evolve Real-Time Eyeballs,Antibiotic,2021-12-09,31.25,False
PROD007,Unleash B2C Architectures,Antiviral,2020-11-10,55.5,True
PROD008,Disintermediate Sticky Infrastructures,Antibiotic,2015-07-25,26.27,False
PROD009,Monetize Visionary Relationships,Antibiotic,2020-01-24,195.82,True
PROD010,Transform End-To-End Infrastructures,Analgesic,2018-08-30,135.35,True
PROD011,Brand Customized Schemas,Antiviral,2024-03-11,110.26,False
PROD012,Deploy Sticky Web-Readiness,Analgesic,2016-12-30,186.49,True
PROD013,Seize E-Business Metrics,Antiviral,2020-12-28,85.81,False
PROD014,Cultivate Integrated Synergies,Vaccine,2020-06-09,180.93,False
PROD015,Deploy Integrated Infrastructures,Antibiotic,2019-08-09,57.1,True
